EIN,cedar_uid,name,link_basis,link_tier
332636029,CE-001HP-XZ,Alaska Native Birthworkers Community,minted 1183: GiveNative listing + IRS registration,A
526105010,CE-001HQ-3R,Native American Journalists Association,minted 1183: GiveNative listing + IRS registration,A
131623902,CE-001HR-9H,Association on American Indian Affairs,minted 1183: GiveNative listing + IRS registration,A
824415931,CE-001HS-FA,Sogorea Te' Land Trust,minted 1183: GiveNative listing + IRS registration,A
473470609,CE-001HT-N3,Native American Rising Generations Foundation,minted 1183: GiveNative listing + IRS registration,A
591315904,CE-001HV-VW,United South and Eastern Tribes,minted 1183: GiveNative listing + IRS registration,A
825118817,CE-001HW-1N,7 G Foundation,minted 1183: GiveNative listing + IRS registration,A
921371007,CE-001HX-7E,Healing Ribbons,minted 1183: GiveNative listing + IRS registration,A
141940569,CE-001HY-D7,Hearts Gathered,minted 1183: GiveNative listing + IRS registration,A
930695227,CE-001HZ-K0,Columbia River Inter-Tribal Fish Commission,minted 1183: GiveNative listing + IRS registration,A
832398323,CE-001J0-Y9,Unkitawa,minted 1183: GiveNative listing + IRS registration,A
900536595,CE-001J1-42,United Natives,minted 1183: GiveNative listing + IRS registration,A
952917933,CE-001J2-AV,United American Indian Involvement,minted 1183: GiveNative listing + IRS registration,A
862450332,CE-001J3-GM,Changemakers Community Economic Development Corporation,minted 1183: GiveNative listing + IRS registration,A
463944868,CE-001J4-PD,Native Land Conservancy Inc,minted 1183: GiveNative listing + IRS registration,A
411500950,CE-001J5-W6,Minnesota Indian Women's Resource Center,minted 1183: GiveNative listing + IRS registration,A
862451868,CE-001J6-2Z,Iaf Inc,minted 1183: GiveNative listing + IRS registration,A
931141536,CE-001J7-8R,Native American Youth and Family Center,minted 1183: GiveNative listing + IRS registration,A
910822523,CE-001J8-EH,American Indian Community Center Association,minted 1183: GiveNative listing + IRS registration,A
810688387,CE-001J9-MA,Indigenous Life Ways,minted 1183: GiveNative listing + IRS registration,A
311551294,CE-001JA-T3,Committee of 500 Years of Dignity and Resistance,minted 1183: GiveNative listing + IRS registration,A
331777226,CE-001JB-0W,7 Directions of Service Inc,minted 1183: GiveNative listing + IRS registration,A
861235460,CE-001JC-6N,Indigenous Creatives Collective,minted 1183: GiveNative listing + IRS registration,A
454800595,CE-001JD-CE,Mita Oyate Cultural Society,minted 1183: GiveNative listing + IRS registration,A
271307663,CE-001JE-J7,Malama Loko Ea Foundation,minted 1183: GiveNative listing + IRS registration,A
991085581,CE-001JF-R0,Gathering of Tribes Foundation,minted 1183: GiveNative listing + IRS registration,A
410966005,CE-001JG-YS,Minneapolis American Indian Center,minted 1183: GiveNative listing + IRS registration,A
815041824,CE-001JH-4J,Minnesota Indigenous Business Alliance,minted 1183: GiveNative listing + IRS registration,A
990405361,CE-001JJ-AB,The Heartbeat Music Project,minted 1183: GiveNative listing + IRS registration,A
883352646,CE-001JK-G4,Wabanaki Commission on Land and Stewardship,minted 1183: GiveNative listing + IRS registration,A
141975548,CE-001JM-PX,Southwest Indigenous Women's Coalition,minted 1183: GiveNative listing + IRS registration,A
331246806,CE-001JN-WP,Sons of the Land,minted 1183: GiveNative listing + IRS registration,A
990118209,CE-001JP-2F,Kualoa Heeia Ecumenical Youth Project,minted 1183: GiveNative listing + IRS registration,A
932129073,CE-001JQ-88,Skanikulat Inc,minted 1183: GiveNative listing + IRS registration,A
866006566,CE-001JR-E1,Phoenix Indian Center,minted 1183: GiveNative listing + IRS registration,A
881283259,CE-001JS-MT,Lindy Waters III Foundation Inc,minted 1183: GiveNative listing + IRS registration,A
844242509,CE-001JT-TK,Nnahra Foundation,minted 1183: GiveNative listing + IRS registration,A
450456446,CE-001JV-0C,Oun,minted 1183: GiveNative listing + IRS registration,A
841848251,CE-001JW-65,Mahchiwminahnahtik Chippewa and Cree Language Revitalization,minted 1183: GiveNative listing + IRS registration,A
560623957,CE-001JX-CY,Cherokee Historical Association,minted 1183: GiveNative listing + IRS registration,A
333014337,CE-001JY-JQ,Kakoo Lahui,minted 1183: GiveNative listing + IRS registration,A
883721890,CE-001JZ-RG,Indigenous Justice,minted 1183: GiveNative listing + IRS registration,A
820583682,CE-001K0-3S,First Peoples Fund,minted 1183: GiveNative listing + IRS registration,A
830959411,CE-001K1-9J,Colorado Plateau Foundation,minted 1183: GiveNative listing + IRS registration,A
833798177,CE-001K2-FB,Urban Native Collective,minted 1183: GiveNative listing + IRS registration,A
870938587,CE-001K3-N4,Aaniiih and Nakoda Montessori Academy,minted 1183: GiveNative listing + IRS registration,A
874050770,CE-001K4-VX,Dine Baadeiti - for the People,minted 1183: GiveNative listing + IRS registration,A
264067845,CE-001K5-1P,Caesars Ford Theatre Inc,minted 1183: GiveNative listing + IRS registration,A
992707481,CE-001K6-7F,Sacred Defense Fund,minted 1183: GiveNative listing + IRS registration,A
850168672,CE-001K7-D8,National Indian Youth Council,minted 1183: GiveNative listing + IRS registration,A
870477049,CE-001K8-K1,American Indian Services,minted 1183: GiveNative listing + IRS registration,A
842556862,CE-001K9-ST,Columbia River Institute for Indigenous Development,minted 1183: GiveNative listing + IRS registration,A
812100844,CE-001KA-ZK,Indigenous Media Freedom Alliance,minted 1183: GiveNative listing + IRS registration,A
481269229,CE-001KB-5C,Hopi School Inc,minted 1183: GiveNative listing + IRS registration,A
201735061,CE-001KC-B5,Coalition to Stop Violence Against Native Women,minted 1183: GiveNative listing + IRS registration,A
352416421,CE-001KD-HY,Native Health Initiative,minted 1183: GiveNative listing + IRS registration,A
850766959,CE-001KE-QQ,Missing Murdered Indigenous Women Coalition of North Carolina,minted 1183: GiveNative listing + IRS registration,A
862477694,CE-001KF-XG,Miigwech Inc,minted 1183: GiveNative listing + IRS registration,A
834458369,CE-001KG-39,Blue Bird Lifeways Inc,minted 1183: GiveNative listing + IRS registration,A
814411144,CE-001KH-92,Mni Wichoni Health Circle,minted 1183: GiveNative listing + IRS registration,A
991065330,CE-001KJ-FV,Carmel Band of Rumsen Indians,minted 1183: GiveNative listing + IRS registration,A
820613944,CE-001KK-NM,NATIFS,minted 1183: GiveNative listing + IRS registration,A
934623943,CE-001KM-VD,SRTAG-State Recognized Tribal Artists Guild Inc,minted 1183: GiveNative listing + IRS registration,A
463568769,CE-001KN-16,Vancleave Live Oak Choctaw Corporation,minted 1183: GiveNative listing + IRS registration,A
812281254,CE-001KP-7Z,Rosy Simas Danse,minted 1183: GiveNative listing + IRS registration,A
392999099,CE-001KQ-DR,Strawberry Wisdom Inc,minted 1183: GiveNative listing + IRS registration,A
464028439,CE-001KR-KH,Alliance of Tribal Coalitions to End Violence,minted 1183: GiveNative listing + IRS registration,A
934050880,CE-001KS-SA,Seven Generations United Association,minted 1183: GiveNative listing + IRS registration,A
201798654,CE-001KT-Z3,New Mexico Community Capital,minted 1183: GiveNative listing + IRS registration,A
812298507,CE-001KV-5W,nibezun,minted 1183: GiveNative listing + IRS registration,A
161451492,CE-001KW-BN,Friends of the Akwesasne Freedom School Inc,minted 1183: GiveNative listing + IRS registration,A
824390032,CE-001KX-HE,Lakota Wellness Society Inc,minted 1183: GiveNative listing + IRS registration,A
465453270,CE-001KY-Q7,Tribal Nations Research Group,minted 1183: GiveNative listing + IRS registration,A
932518698,CE-001KZ-X0,Forge Project,minted 1183: GiveNative listing + IRS registration,A
870560763,CE-001M0-89,Utah Navajo Health System Incorporated,minted 1183: GiveNative listing + IRS registration,A
274582954,CE-001M1-E2,Lake Traverse Animal Rezcue,minted 1183: GiveNative listing + IRS registration,A
860534380,CE-001M2-MV,Native American Fish & Wildlife Society,minted 1183: GiveNative listing + IRS registration,A
931120037,CE-001M3-TM,Crow's Shadow Institute of the Arts,minted 1183: GiveNative listing + IRS registration,A
536017907,CE-001M4-0D,National Congress of American Indians,minted 1183: GiveNative listing + IRS registration,A
237135928,CE-001M5-66,Native American Health Center Inc,minted 1183: GiveNative listing + IRS registration,A
845148397,CE-001M6-CZ,Makahanaloa Fishing Association,minted 1183: GiveNative listing + IRS registration,A
844351682,CE-001M7-JR,Ohketeau,minted 1183: GiveNative listing + IRS registration,A
840611428,CE-001M8-RH,National American Indian Court Judges Association,minted 1183: GiveNative listing + IRS registration,A
991337812,CE-001M9-YA,Natives in VetMed,minted 1183: GiveNative listing + IRS registration,A
263305695,CE-001MA-43,Hui Kanaka Pōwāwae,minted 1183: GiveNative listing + IRS registration,A
260148284,CE-001MB-AW,Circle Legacy Center,minted 1183: GiveNative listing + IRS registration,A
541970097,CE-001MC-GN,Oweesta Corporation,minted 1183: GiveNative listing + IRS registration,A
453150830,CE-001MD-PE,Chief Tahgee Elementary Academy Inc,minted 1183: GiveNative listing + IRS registration,A
237097915,CE-001ME-W7,Friendship House Association of American Indians,minted 1183: GiveNative listing + IRS registration,A
333646611,CE-001MF-20,Himyuma Outreach,minted 1183: GiveNative listing + IRS registration,A
393244861,CE-001MG-8S,Sweetgrass Advocacy,minted 1183: GiveNative listing + IRS registration,A
334527957,CE-001MH-EJ,Sustainable Solutions for People and Places Inc,minted 1183: GiveNative listing + IRS registration,A
463692050,CE-001MJ-MB,Oahu Hawaiian Canoe Racing Association Hawaii,minted 1183: GiveNative listing + IRS registration,A
391362980,CE-001MK-T4,Indian Council of the Elderly Inc,minted 1183: GiveNative listing + IRS registration,A
475239057,CE-001MM-0X,Wabanaki Youth in Science,minted 1183: GiveNative listing + IRS registration,A
810506570,CE-001MN-6P,American Indigenous Business Leaders,minted 1183: GiveNative listing + IRS registration,A
844818989,CE-001MP-CF,Stronghearts Native Helpline Inc,minted 1183: GiveNative listing + IRS registration,A
842137738,CE-001MQ-J8,Indigenous Performance Productions,minted 1183: GiveNative listing + IRS registration,A
320447436,CE-001MR-R1,Amah Mutsun Land Trust,minted 1183: GiveNative listing + IRS registration,A
201870330,CE-001MS-YT,The Notah Begay Iii Foundation Inc,minted 1183: GiveNative listing + IRS registration,A
843207348,CE-001MT-4K,California Public Domain Allottees Association,minted 1183: GiveNative listing + IRS registration,A
731023474,CE-001MV-AC,Support AISES Indigenous STEM Students,minted 1183: GiveNative listing + IRS registration,A
520900964,CE-001MW-G5,Americans for Indian Opportunity,minted 1183: GiveNative listing + IRS registration,A
411365561,CE-001MX-PY,American Indian OIC,minted 1183: GiveNative listing + IRS registration,A
470596952,CE-001MY-WQ,Vision Maker Media,minted 1183: GiveNative listing + IRS registration,A
383081615,CE-001MZ-2G,American Indian Health and Family Services,minted 1183: GiveNative listing + IRS registration,A
475593452,CE-001N0-DS,Iwikua,minted 1183: GiveNative listing + IRS registration,A
301423903,CE-001N1-KJ,Winnebago Health Foundation,minted 1183: GiveNative listing + IRS registration,A
383888458,CE-001N2-SB,Native American Boarding School Healing Coalition,minted 1183: GiveNative listing + IRS registration,A
680535413,CE-001N3-Z4,Native Movement,minted 1183: GiveNative listing + IRS registration,A
932720066,CE-001N4-5X,Queer Sol Collective Inc,minted 1183: GiveNative listing + IRS registration,A
861664619,CE-001N5-BP,Four Corners Rising,minted 1183: GiveNative listing + IRS registration,A
853159937,CE-001N6-HF,Center for Native Futures,minted 1183: GiveNative listing + IRS registration,A
910889016,CE-001N7-Q8,United Indians of All Tribes Foundation,minted 1183: GiveNative listing + IRS registration,A
882844649,CE-001N8-X1,Puuhonua O Wailupe,minted 1183: GiveNative listing + IRS registration,A
742717029,CE-001N9-3T,American Indians in Texas-At the Spanish Colonial Missions,minted 1183: GiveNative listing + IRS registration,A
954124859,CE-001NA-9K,Wishtoyo Foundation,minted 1183: GiveNative listing + IRS registration,A
851245097,CE-001NB-FC,So Oh Shinali Sister Project,minted 1183: GiveNative listing + IRS registration,A
922224097,CE-001NC-N5,Sovereign Energy,minted 1183: GiveNative listing + IRS registration,A
942540194,CE-001ND-VY,"NATIVE HEALTH, Inc.",minted 1183: GiveNative listing + IRS registration,A
850250024,CE-001NE-1Q,American Indian Law Center Inc,minted 1183: GiveNative listing + IRS registration,A
871933610,CE-001NF-7G,Indigenous Roots & Reparation Foundation,minted 1183: GiveNative listing + IRS registration,A
853881183,CE-001NG-D9,Mas House & Bipoc Art Studio Inc,minted 1183: GiveNative listing + IRS registration,A
822045927,CE-001NH-K2,Plenty Doors Community Development Corporation,minted 1183: GiveNative listing + IRS registration,A
824237780,CE-001NJ-SV,Blue Heron Tiospaye,minted 1183: GiveNative listing + IRS registration,A
460990639,CE-001NK-ZM,Laguna Community Foundation,minted 1183: GiveNative listing + IRS registration,A
861378088,CE-001NM-5D,Tm Mikinaak Ode Center,minted 1183: GiveNative listing + IRS registration,A
411697692,CE-001NN-B6,Ain Dah Yung (Our Home) Center,minted 1183: GiveNative listing + IRS registration,A
931192718,CE-001NP-HZ,Wallowa Band Nez Perce Trail Interpretive Center Inc,minted 1183: GiveNative listing + IRS registration,A
832453245,CE-001NQ-QR,Mountain Shadow Association,minted 1183: GiveNative listing + IRS registration,A
922562246,CE-001NR-XH,Seeds of Eden,minted 1183: GiveNative listing + IRS registration,A
461310975,CE-001NS-3A,Lakota Nation Invitational,minted 1183: GiveNative listing + IRS registration,A
920037488,CE-001NT-93,Fairbanks Native Association,minted 1183: GiveNative listing + IRS registration,A
020656763,CE-001NV-FW,Boys & Girls Clubs in Indian Country Inc,minted 1183: GiveNative listing + IRS registration,A
731010390,CE-001NW-NN,"United National Indian Tribal Youth, Inc. (UNITY, Inc)",minted 1183: GiveNative listing + IRS registration,A
800672072,CE-001NX-VE,Native Public Media,minted 1183: GiveNative listing + IRS registration,A
881124792,CE-001NY-17,Missing and Murdered Dine Relatives,minted 1183: GiveNative listing + IRS registration,A
454511408,CE-001NZ-70,Keres Childrens Learning Center,minted 1183: GiveNative listing + IRS registration,A
392034477,CE-001P0-J9,Waadookodaading Ojibwe Language Institute Inc,minted 1183: GiveNative listing + IRS registration,A
412099500,CE-001P1-R2,Wind River Food Sovereignty Project,minted 1183: GiveNative listing + IRS registration,A
853324133,CE-001P2-YV,Widoktadwen Center for Native Knowledge,minted 1183: GiveNative listing + IRS registration,A
850222386,CE-001P3-4M,Native Forward Scholars Fund,minted 1183: GiveNative listing + IRS registration,A
921512281,CE-001P4-AD,Ridges to Riffles Indigenous Conservation Group,minted 1183: GiveNative listing + IRS registration,A
862229607,CE-001P5-G6,IndiJ Public Media,minted 1183: GiveNative listing + IRS registration,A
842374343,CE-001P6-PZ,Natives in Tech Inc,minted 1183: GiveNative listing + IRS registration,A
270566321,CE-001P7-WR,Messengers for Health,minted 1183: GiveNative listing + IRS registration,A
464578553,CE-001P8-2H,Native American Food Sovereignty Alliance,minted 1183: GiveNative listing + IRS registration,A
043390765,CE-001P9-8A,Aquinnah Cultural Center,minted 1183: GiveNative listing + IRS registration,A
205966903,CE-001PA-E3,Society of American Indian Dentistinc,minted 1183: GiveNative listing + IRS registration,A
475005550,CE-001PB-MW,Children of the Setting Sun,minted 1183: GiveNative listing + IRS registration,A
922936237,CE-001PC-TN,National Native American Supplier Council,minted 1183: GiveNative listing + IRS registration,A
850405613,CE-001PD-0E,Indigenous Language Institute,minted 1183: GiveNative listing + IRS registration,A
811716095,CE-001PE-67,Owámniyomni Okhódayapi,minted 1183: GiveNative listing + IRS registration,A
873711805,CE-001PF-C0,Choctaw Freedmen Citizenship Footprints,minted 1183: GiveNative listing + IRS registration,A
920150422,CE-001PG-JS,Alutiiq Heritage Foundation,minted 1183: GiveNative listing + IRS registration,A
943244506,CE-001PH-RJ,California Indian Museum & Cultural Center,minted 1183: GiveNative listing + IRS registration,A
833857527,CE-001PJ-YB,Sicangu Community Development Corporation,minted 1183: GiveNative listing + IRS registration,A
920534053,CE-001PK-44,Nebraska Tribes Addressing Violence Coalition,minted 1183: GiveNative listing + IRS registration,A
850480836,CE-001PM-AX,Tewa Women United,minted 1183: GiveNative listing + IRS registration,A
812560483,CE-001PN-GP,Kno Qoti Native Wellness Inc,minted 1183: GiveNative listing + IRS registration,A
473465431,CE-001PP-PF,Nimiipuu Protecting the Environment,minted 1183: GiveNative listing + IRS registration,A
454509939,CE-001PQ-W8,Kuaaina Ulu Auamo,minted 1183: GiveNative listing + IRS registration,A
990798857,CE-001PR-21,Words of the People Foundation,minted 1183: GiveNative listing + IRS registration,A
204096132,CE-001PS-8T,Great Plains Tribal Water Alliance,minted 1183: GiveNative listing + IRS registration,A
460354592,CE-001PT-EK,Pathfinder Center,minted 1183: GiveNative listing + IRS registration,A
831710804,CE-001PV-MC,Kīpuka Kuleana,minted 1183: GiveNative listing + IRS registration,A
453783528,CE-001PW-T5,Wild Horse Butte Community Development Corporation,minted 1183: GiveNative listing + IRS registration,A
873327859,CE-001PX-0Y,Tahoma Indian Center,minted 1183: GiveNative listing + IRS registration,A
871513844,CE-001PY-6Q,Hummingbird Indigenous Family Services,minted 1183: GiveNative listing + IRS registration,A
541254491,CE-001PZ-CG,First Nations Development Institute,minted 1183: GiveNative listing + IRS registration,A
993229053,CE-001Q0-QS,Intertribal Connections of Cache & Box Elder,minted 1183: GiveNative listing + IRS registration,A
842500396,CE-001Q1-XJ,He Sapa Otipi - Incorporated,minted 1183: GiveNative listing + IRS registration,A
921224952,CE-001Q2-3B,Missing and Murdered Indigenous Relatives Taskforce of Colorado,minted 1183: GiveNative listing + IRS registration,A
820714271,CE-001Q3-94,Lightning Boy Foundation Inc,minted 1183: GiveNative listing + IRS registration,A
881262239,CE-001Q4-FX,Crushing Colonialism,minted 1183: GiveNative listing + IRS registration,A
861800210,CE-001Q5-NP,Intertribal Community Council of Texas,minted 1183: GiveNative listing + IRS registration,A
815265328,CE-001Q6-VF,Division of Indian Work,minted 1183: GiveNative listing + IRS registration,A
462653495,CE-001Q7-18,Pohaku Pelemaka,minted 1183: GiveNative listing + IRS registration,A
721584619,CE-001Q8-71,Advocates for Indigenous California Language Survival,minted 1183: GiveNative listing + IRS registration,A
844052420,CE-001Q9-DT,Native Sun Community Power Development,minted 1183: GiveNative listing + IRS registration,A
237098400,CE-001QA-KK,Native American Rehabilitation Association NW,minted 1183: GiveNative listing + IRS registration,A
237085690,CE-001QB-SC,National Native American Law Students Association,minted 1183: GiveNative listing + IRS registration,A
462691773,CE-001QC-Z5,Mother Nation,minted 1183: GiveNative listing + IRS registration,A
203759072,CE-001QD-5Y,Moenkopi Senior Center,minted 1183: GiveNative listing + IRS registration,A
201730126,CE-001QE-BQ,College Horizons,minted 1183: GiveNative listing + IRS registration,A
814180619,CE-001QF-HG,Water Protector Legal Collective,minted 1183: GiveNative listing + IRS registration,A
933930516,CE-001QG-Q9,Ohkomi Forensics,minted 1183: GiveNative listing + IRS registration,A
873832254,CE-001QH-X2,L I G H T Foundation,minted 1183: GiveNative listing + IRS registration,A
562327781,CE-001QJ-3V,Native American Fatherhood & Families Association,minted 1183: GiveNative listing + IRS registration,A
204287737,CE-001QK-9M,Sacramento Native American Health Center,minted 1183: GiveNative listing + IRS registration,A
852724658,CE-001QM-FD,Tribal Minds,minted 1183: GiveNative listing + IRS registration,A
208090454,CE-001QN-N6,Thunder Valley CDC,minted 1183: GiveNative listing + IRS registration,A
391453493,CE-001QP-VZ,Lac Courte Oreilles Ojibwe University,minted 1183: GiveNative listing + IRS registration,A
863991594,CE-001QQ-1R,Association of Ramaytush Ohlone,minted 1183: GiveNative listing + IRS registration,A
237296514,CE-001QR-7H,Museum of the American Indian,minted 1183: GiveNative listing + IRS registration,A
473190700,CE-001QS-DA,Visionary Ventures Nfp Corporation,minted 1183: GiveNative listing + IRS registration,A
204878959,CE-001QT-K3,California Consortium for Urban Indian Health Inc,minted 1183: GiveNative listing + IRS registration,A
332167972,CE-001QV-SW,Native Nuclear,minted 1183: GiveNative listing + IRS registration,A
991781942,CE-001QW-ZN,Na7 Ive Na7 Ions,minted 1183: GiveNative listing + IRS registration,A
881020335,CE-001QX-5E,4Corners K-9 Search and Rescue,minted 1183: GiveNative listing + IRS registration,A
860268489,CE-001QY-B7,"Native Americans for Community Action, Inc.",minted 1183: GiveNative listing + IRS registration,A
560944327,CE-001QZ-H0,Museum of the Cherokee People,minted 1183: GiveNative listing + IRS registration,A
863476486,CE-001R0-W9,Montana Consortium for Urban Indian Health,minted 1183: GiveNative listing + IRS registration,A
261972785,CE-001R1-22,American Indian Association of Illinois,minted 1183: GiveNative listing + IRS registration,A
200347239,CE-001R2-8V,Tribal Education Departments National Assembly,minted 1183: GiveNative listing + IRS registration,A
460436638,CE-001R3-EM,Lakota Youth Development,minted 1183: GiveNative listing + IRS registration,A
363309894,CE-001R4-MD,Little Earth Residents Association Inc,minted 1183: GiveNative listing + IRS registration,A
333597048,CE-001R5-T6,"Bay Area American Indian Two-Spirits, Inc.",minted 1183: GiveNative listing + IRS registration,A
843695943,CE-001R6-0Z,Atux Forever-Restoring Attuans Freedom,minted 1183: GiveNative listing + IRS registration,A
391939352,CE-001R7-6R,Wise Women Gathering Place,minted 1183: GiveNative listing + IRS registration,A
270884032,CE-001R8-CH,Native Action Network,minted 1183: GiveNative listing + IRS registration,A
261088259,CE-001R9-JA,Sacred Pipe Resource Center,minted 1183: GiveNative listing + IRS registration,A
881125207,CE-001RA-R3,100 Horses Womens Society Inc,minted 1183: GiveNative listing + IRS registration,A
992989574,CE-001RB-YW,Wabanaki Community Foundation,minted 1183: GiveNative listing + IRS registration,A
411841352,CE-001RC-4N,"American Indian Family Center of Saint Paul, MN",minted 1183: GiveNative listing + IRS registration,A
333422000,CE-001RD-AE,Alianza Tecuani,minted 1183: GiveNative listing + IRS registration,A
990891237,CE-001RE-G7,Native American Capital and Investment Alliance,minted 1183: GiveNative listing + IRS registration,A
874429223,CE-001RF-P0,Reflections of Turtle Island Inc,minted 1183: GiveNative listing + IRS registration,A
946042089,CE-001RG-WS,Intertribal Friendship House,minted 1183: GiveNative listing + IRS registration,A
880727247,CE-001RH-2J,South Dakota Education Equity Coalition,minted 1183: GiveNative listing + IRS registration,A
874282834,CE-001RJ-8B,SaltFire,minted 1183: GiveNative listing + IRS registration,A
541656446,CE-001RK-E4,Monacan Nation Cultural Foundation,minted 1183: GiveNative listing + IRS registration,A
931995510,CE-001RM-MX,Culture Hub Inc,minted 1183: GiveNative listing + IRS registration,A
334528846,CE-001RN-TP,Earth Empowering All Relatives to Heal,minted 1183: GiveNative listing + IRS registration,A
881499930,CE-001RP-0F,Spottedtail Holistic Health,minted 1183: GiveNative listing + IRS registration,A
824369803,CE-001RQ-68,The Kwek Society,minted 1183: GiveNative listing + IRS registration,A
475054790,CE-001RR-C1,Ileihno Bopachemihn Inc dba Tribal Oak Tree FFA,minted 1183: GiveNative listing + IRS registration,A
823955043,CE-001RS-JT,Ke Kula Nui O Waimanalo,minted 1183: GiveNative listing + IRS registration,A
770703949,CE-001RT-RK,Native American Church of Southern Arizona Inc,minted 1183: GiveNative listing + IRS registration,A
853049448,CE-001RV-YC,Bomazeen Land Trust,minted 1183: GiveNative listing + IRS registration,A
850726595,CE-001RW-45,Native American Pathways,minted 1183: GiveNative listing + IRS registration,A
237250803,CE-001RX-AY,Hawaiʻi Peopleʻs Fund,minted 1183: GiveNative listing + IRS registration,A
743068342,CE-001RY-GQ,Society of American Indian Government Employees,minted 1183: GiveNative listing + IRS registration,A
992595039,CE-001RZ-PG,Zuya Wicasa Ta Otipi Warriors Lodge Inc,minted 1183: GiveNative listing + IRS registration,A
311526748,CE-001S0-1S,Los Angeles Indigenous Peoples Alliance,minted 1183: GiveNative listing + IRS registration,A
932161897,CE-001S1-7J,Buffalo First,minted 1183: GiveNative listing + IRS registration,A
943003900,CE-001S2-DB,The Cultural Conservancy,minted 1183: GiveNative listing + IRS registration,A
571081720,CE-001S3-K4,South Carolina Indian Affairs Commission,minted 1183: GiveNative listing + IRS registration,A
873592353,CE-001S4-SX,Four Points Media Inc,minted 1183: GiveNative listing + IRS registration,A
521573446,CE-001S5-ZP,American Indian College Fund,minted 1183: GiveNative listing + IRS registration,A
873377614,CE-001S6-5F,Pretty Eaglewoman Resource Foundation,minted 1183: GiveNative listing + IRS registration,A
844711448,CE-001S7-B8,Kalauokekahuli,minted 1183: GiveNative listing + IRS registration,A
923156371,CE-001S8-H1,Honor the Treaty of 1864,minted 1183: GiveNative listing + IRS registration,A
834659334,CE-001S9-QT,Snqwelmistn,minted 1183: GiveNative listing + IRS registration,A
863022293,CE-001SA-XK,Grinding Stone Collective Inc,minted 1183: GiveNative listing + IRS registration,A
931428841,CE-001SB-3C,Tribal Homeownership Coalition of the Southwest,minted 1183: GiveNative listing + IRS registration,A
